"","time","open","high","low","close","volume"
"1",2017-08-01 00:03:00,987.2,987.2,987.2,987.2,5
"2",2017-08-01 00:04:00,987.5,987.5,987.5,987.5,1
"3",2017-08-01 00:05:00,987.33,987.33,987.33,987.33,1
"4",2017-08-01 00:07:00,987.25,987.25,987.25,987.25,20
"5",2017-08-01 00:08:00,987.2,987.2,987.2,987.2,22
"6",2017-08-01 00:09:00,987.2,987.25,987.2,987.25,91
"7",2017-08-01 00:10:00,987.5,987.5,987.5,987.5,1
"8",2017-08-01 00:12:00,987.5,987.5,987.5,987.5,2
"9",2017-08-01 00:14:00,987.69,987.69,987.69,987.69,2
"10",2017-08-01 00:24:00,987.78,987.78,987.13,987.13,100
"11",2017-08-01 00:26:00,987.13,987.13,987.09,987.09,46
"12",2017-08-01 00:29:00,987.74,987.74,987.74,987.74,1
"13",2017-08-01 00:35:00,987.28,987.28,987.28,987.28,3
"14",2017-08-01 00:37:00,987.31,987.31,987.31,987.31,31
"15",2017-08-01 00:38:00,987.65,987.65,987.02,987.02,594
"16",2017-08-01 00:39:00,987.01,987.01,986.16,986.16,701
"17",2017-08-01 00:40:00,986.13,986.13,986.13,986.13,5
"18",2017-08-01 00:41:00,986,986.01,986,986.01,20
"19",2017-08-01 00:42:00,986,986,986,986,5
"20",2017-08-01 00:44:00,986,986,985.58,985.58,10
"21",2017-08-01 00:46:00,985.58,985.58,985.55,985.55,42
"22",2017-08-01 00:47:00,985.51,985.51,985.51,985.51,3
"23",2017-08-01 00:50:00,986,986,986,986,16
"24",2017-08-01 00:51:00,986,986,986,986,5
"25",2017-08-01 00:52:00,985.75,985.75,985.75,985.75,1
"26",2017-08-01 00:53:00,985.6,985.6,985.51,985.51,13
"27",2017-08-01 01:06:00,985.55,985.55,985.22,985.22,500
"28",2017-08-01 01:08:00,985.5,985.93,985.2,985.33,139
"29",2017-08-01 01:10:00,985.19,985.19,985.19,985.19,27
"30",2017-08-01 01:15:00,985.25,985.25,985.25,985.25,3
"31",2017-08-01 01:17:00,985.2,985.2,984.7,984.7,1075
"32",2017-08-01 01:18:00,984.7,984.7,984.7,984.7,59
"33",2017-08-01 01:20:00,984.7,984.7,984.7,984.7,10
"34",2017-08-01 01:22:00,984.5,984.5,984.13,984.13,179
"35",2017-08-01 01:24:00,985,985,983.85,983.85,53
