"","time","open","high","low","close","volume"
"1",2017-08-01 02:01:00,26.78,26.78,26.78,26.78,30
"2",2017-08-01 16:18:00,26.95,26.95,26.95,26.95,1000
"3",2017-08-01 16:22:00,26.82,26.82,26.81,26.81,100
"4",2017-08-01 16:24:00,26.94,26.94,26.94,26.94,4
"5",2017-08-01 16:31:00,26.77,26.78,26.72,26.73,4840
"6",2017-08-01 16:32:00,26.75,26.75,26.69,26.69,1290
"7",2017-08-01 16:33:00,26.69,26.69,26.68,26.68,400
"8",2017-08-01 16:34:00,26.66,26.66,26.66,26.66,500
"9",2017-08-01 16:35:00,26.63,26.63,26.62,26.62,1000
"10",2017-08-01 16:36:00,26.62,26.65,26.62,26.65,798
"11",2017-08-01 16:37:00,26.64,26.64,26.61,26.61,420
"12",2017-08-01 16:38:00,26.61,26.62,26.61,26.61,600
"13",2017-08-01 16:39:00,26.59,26.66,26.57,26.58,660
"14",2017-08-01 16:40:00,26.6,26.6,26.6,26.6,100
"15",2017-08-01 16:41:00,26.59,26.59,26.57,26.57,1343
"16",2017-08-01 16:42:00,26.56,26.56,26.52,26.54,7098
"17",2017-08-01 16:43:00,26.53,26.54,26.53,26.54,1200
"18",2017-08-01 16:44:00,26.53,26.53,26.52,26.52,955
"19",2017-08-01 16:45:00,26.51,26.53,26.51,26.53,649
"20",2017-08-01 16:46:00,26.53,26.54,26.52,26.52,420
"21",2017-08-01 16:47:00,26.53,26.54,26.52,26.52,1747
"22",2017-08-01 16:48:00,26.52,26.53,26.52,26.53,900
"23",2017-08-01 16:49:00,26.53,26.55,26.53,26.54,2331
"24",2017-08-01 16:50:00,26.55,26.55,26.55,26.55,300
"25",2017-08-01 16:51:00,26.56,26.56,26.56,26.56,300
"26",2017-08-01 16:52:00,26.54,26.54,26.54,26.54,600
"27",2017-08-01 16:53:00,26.54,26.54,26.54,26.54,487
"28",2017-08-01 16:55:00,26.53,26.53,26.52,26.52,1100
"29",2017-08-01 16:56:00,26.52,26.56,26.52,26.56,2841
"30",2017-08-01 16:58:00,26.56,26.56,26.56,26.56,2
"31",2017-08-01 16:59:00,26.56,26.56,26.56,26.56,400
"32",2017-08-01 17:00:00,26.56,26.57,26.55,26.56,2861
"33",2017-08-01 17:01:00,26.56,26.59,26.56,26.59,1600
"34",2017-08-01 17:02:00,26.59,26.6,26.59,26.6,693
