"","time","open","high","low","close","volume"
"1",2017-08-01 16:31:00,65.07,65.1,65.07,65.1,229
"2",2017-08-01 16:32:00,65.09,65.16,65.05,65.05,733
"3",2017-08-01 16:35:00,65.01,65.01,65.01,65.01,200
"4",2017-08-01 16:38:00,65.17,65.28,65.15,65.15,439
"5",2017-08-01 16:41:00,65.15,65.16,65.11,65.11,380
"6",2017-08-01 16:42:00,65.11,65.13,65.11,65.13,400
"7",2017-08-01 16:43:00,65.09,65.17,65.09,65.17,400
"8",2017-08-01 16:45:00,65.1,65.1,65.1,65.1,100
"9",2017-08-01 16:46:00,65.13,65.14,65.13,65.14,200
"10",2017-08-01 16:47:00,65.13,65.13,65.13,65.13,100
"11",2017-08-01 16:49:00,65.08,65.08,65.03,65.05,201
"12",2017-08-01 16:52:00,64.99,64.99,64.99,64.99,100
"13",2017-08-01 16:53:00,65.02,65.02,65.02,65.02,90
"14",2017-08-01 16:55:00,64.87,64.87,64.87,64.87,100
"15",2017-08-01 16:56:00,64.87,64.97,64.87,64.97,400
"16",2017-08-01 16:58:00,64.89,64.89,64.82,64.82,404
"17",2017-08-01 17:03:00,64.74,64.74,64.73,64.73,303
"18",2017-08-01 17:04:00,64.83,64.84,64.83,64.84,200
"19",2017-08-01 17:05:00,64.85,64.85,64.84,64.84,302
"20",2017-08-01 17:10:00,64.79,64.79,64.74,64.74,103
"21",2017-08-01 17:12:00,64.75,64.78,64.73,64.73,219
"22",2017-08-01 17:13:00,64.64,64.64,64.59,64.59,127
"23",2017-08-01 17:15:00,64.58,64.62,64.58,64.62,215
"24",2017-08-01 17:16:00,64.63,64.63,64.63,64.63,104
"25",2017-08-01 17:18:00,64.62,64.62,64.54,64.54,113
"26",2017-08-01 17:20:00,64.62,64.68,64.62,64.68,404
"27",2017-08-01 17:21:00,64.65,64.65,64.64,64.64,23
"28",2017-08-01 17:23:00,64.58,64.59,64.52,64.52,203
"29",2017-08-01 17:24:00,64.53,64.54,64.53,64.54,300
"30",2017-08-01 17:25:00,64.5,64.52,64.5,64.52,105
"31",2017-08-01 17:27:00,64.54,64.54,64.54,64.54,100
"32",2017-08-01 17:30:00,64.53,64.54,64.53,64.54,207
"33",2017-08-01 17:32:00,64.55,64.55,64.55,64.55,100
"34",2017-08-01 17:33:00,64.57,64.6,64.57,64.6,300
"35",2017-08-01 17:35:00,64.64,64.67,64.62,64.66,780
"36",2017-08-01 17:36:00,64.66,64.66,64.64,64.64,300
"37",2017-08-01 17:37:00,64.64,64.64,64.64,64.64,100
"38",2017-08-01 17:38:00,64.65,64.67,64.65,64.67,200
"39",2017-08-01 17:39:00,64.68,64.68,64.68,64.68,100
"40",2017-08-01 17:40:00,64.68,64.68,64.68,64.68,200
"41",2017-08-01 17:42:00,64.68,64.68,64.63,64.63,903
"42",2017-08-01 17:43:00,64.62,64.64,64.62,64.64,325
"43",2017-08-01 17:44:00,64.65,64.65,64.64,64.64,209
"44",2017-08-01 17:45:00,64.63,64.67,64.63,64.67,450
"45",2017-08-01 17:46:00,64.69,64.69,64.69,64.69,100
"46",2017-08-01 17:48:00,64.77,64.8,64.77,64.8,300
"47",2017-08-01 17:49:00,64.89,64.89,64.88,64.88,453
"48",2017-08-01 17:50:00,64.9,64.9,64.9,64.9,200
"49",2017-08-01 17:51:00,64.92,64.95,64.91,64.94,1084
"50",2017-08-01 17:52:00,64.98,65.05,64.98,64.99,916
"51",2017-08-01 17:53:00,64.99,64.99,64.97,64.97,252
"52",2017-08-01 17:54:00,64.95,64.95,64.95,64.95,150
"53",2017-08-01 17:55:00,64.93,64.94,64.85,64.85,303
"54",2017-08-01 17:57:00,64.82,64.82,64.82,64.82,100
"55",2017-08-01 17:58:00,64.85,64.85,64.85,64.85,3
"56",2017-08-01 17:59:00,64.86,64.88,64.86,64.88,200
"57",2017-08-01 18:00:00,64.88,64.88,64.86,64.86,366
"58",2017-08-01 18:01:00,64.8,64.8,64.8,64.8,3
"59",2017-08-01 18:02:00,64.76,64.76,64.72,64.72,200
"60",2017-08-01 18:03:00,64.73,64.73,64.73,64.73,200
"61",2017-08-01 18:04:00,64.75,64.77,64.75,64.77,300
"62",2017-08-01 18:05:00,64.86,64.86,64.86,64.86,100
"63",2017-08-01 18:06:00,64.83,64.83,64.81,64.83,792
"64",2017-08-01 18:07:00,64.85,64.88,64.83,64.83,903
"65",2017-08-01 18:08:00,64.81,64.81,64.74,64.74,400
"66",2017-08-01 18:09:00,64.72,64.74,64.72,64.72,304
"67",2017-08-01 18:11:00,64.69,64.69,64.69,64.69,203
"68",2017-08-01 18:13:00,64.68,64.69,64.68,64.69,674
"69",2017-08-01 18:14:00,64.67,64.67,64.67,64.67,204
"70",2017-08-01 18:15:00,64.65,64.65,64.64,64.65,313
"71",2017-08-01 18:16:00,64.65,64.71,64.65,64.71,700
"72",2017-08-01 18:17:00,64.73,64.77,64.73,64.76,357
"73",2017-08-01 18:18:00,64.75,64.75,64.73,64.74,603
"74",2017-08-01 18:20:00,64.71,64.71,64.65,64.65,543
"75",2017-08-01 18:21:00,64.63,64.65,64.63,64.63,182
"76",2017-08-01 18:27:00,64.65,64.77,64.65,64.77,1803
"77",2017-08-01 18:28:00,64.78,64.78,64.78,64.78,400
"78",2017-08-01 18:30:00,64.73,64.76,64.73,64.76,595
"79",2017-08-01 18:32:00,64.82,64.86,64.82,64.86,414
"80",2017-08-01 18:33:00,64.85,64.85,64.84,64.84,403
"81",2017-08-01 18:35:00,64.83,64.83,64.73,64.73,1007
"82",2017-08-01 18:36:00,64.74,64.74,64.73,64.73,544
"83",2017-08-01 18:37:00,64.72,64.73,64.72,64.72,300
