"","time","open","high","low","close","volume"
"1",2018-08-01 09:31:00,245.59,246.01,245.58,246.01,2300
"2",2018-08-01 09:32:00,246.02,246.02,245.58,245.58,700
"3",2018-08-01 09:33:00,245,245,244.96,244.96,200
"4",2018-08-01 09:34:00,244.99,245.26,244.99,245.26,300
"5",2018-08-01 09:35:00,245.5,245.5,245.24,245.24,300
"6",2018-08-01 09:36:00,246.26,246.26,246.25,246.25,200
"7",2018-08-01 09:37:00,246.4,246.4,246.14,246.14,300
"8",2018-08-01 09:38:00,245.85,245.85,245.67,245.81,400
"9",2018-08-01 09:39:00,245.75,245.75,245.04,245.21,4844
"10",2018-08-01 09:40:00,245.34,245.62,245.34,245.39,500
"11",2018-08-01 09:41:00,245.38,245.38,245.38,245.38,100
"12",2018-08-01 09:42:00,245.43,245.67,245.22,245.67,4400
"13",2018-08-01 09:43:00,245.93,246.04,245.62,245.81,700
"14",2018-08-01 09:44:00,245.81,246,245.76,245.76,600
"15",2018-08-01 09:45:00,246.15,246.16,246.11,246.16,300
"16",2018-08-01 09:46:00,246.32,246.36,246.32,246.36,900
"17",2018-08-01 09:47:00,246.45,246.5,246.2,246.41,17043
"18",2018-08-01 09:48:00,246.7,246.7,246.7,246.7,100
"19",2018-08-01 09:49:00,246.39,246.39,246.31,246.31,300
"20",2018-08-01 09:50:00,246.38,246.38,246.055,246.09,516
"21",2018-08-01 09:51:00,246.1,246.1,246.05,246.06,500
"22",2018-08-01 09:52:00,246.185,246.185,245.9,245.9,700
"23",2018-08-01 09:53:00,245.76,245.76,245.76,245.76,100
"24",2018-08-01 09:54:00,245.83,246.14,245.83,246.07,1350
"25",2018-08-01 09:55:00,246.16,246.16,245.81,245.81,400
"26",2018-08-01 09:56:00,245.79,245.79,245.79,245.79,100
"27",2018-08-01 09:57:00,245.78,245.78,245.78,245.78,100
"28",2018-08-01 09:58:00,245.88,245.88,245.88,245.88,200
"29",2018-08-01 09:59:00,245.66,245.66,245.635,245.635,300
"30",2018-08-01 10:00:00,245.59,245.61,245.22,245.235,900
"31",2018-08-01 10:01:00,245.37,245.47,245.345,245.41,1058
"32",2018-08-01 10:02:00,245.31,245.31,245.31,245.31,300
"33",2018-08-01 10:03:00,245.44,245.58,245.44,245.58,200
"34",2018-08-01 10:04:00,245.54,245.59,245.47,245.47,500
"35",2018-08-01 10:05:00,245.05,245.05,244.98,244.98,400
"36",2018-08-01 10:06:00,244.99,245.03,244.99,245.03,200
"37",2018-08-01 10:07:00,244.99,244.99,244.99,244.99,100
"38",2018-08-01 10:08:00,245.23,245.23,245.23,245.23,200
"39",2018-08-01 10:09:00,245.674,245.76,245.6242,245.76,2140
