"","time","open","high","low","close","volume"
"1",2018-08-01 16:31:00,142.91,142.91,142.91,142.91,241
"2",2018-08-01 16:34:00,143.48,143.98,143.36,143.96,1789
"3",2018-08-01 16:35:00,144.17,144.34,144.03,144.34,2124
"4",2018-08-01 16:36:00,144.22,144.22,144.17,144.17,904
"5",2018-08-01 16:37:00,144.02,144.02,143.9,143.9,900
"6",2018-08-01 16:39:00,143.65,143.65,143.45,143.45,1477
"7",2018-08-01 16:40:00,143.46,143.46,143.38,143.38,116
"8",2018-08-01 16:41:00,143.4,143.48,143.4,143.48,612
"9",2018-08-01 16:42:00,143.39,143.57,143.39,143.57,206
"10",2018-08-01 16:43:00,143.65,143.65,143.65,143.65,100
"11",2018-08-01 16:44:00,143.8,143.83,143.8,143.83,195
"12",2018-08-01 16:45:00,143.83,143.98,143.83,143.98,340
"13",2018-08-01 16:46:00,144.13,144.13,144.04,144.04,1113
"14",2018-08-01 16:47:00,144.14,144.14,144.04,144.05,2204
"15",2018-08-01 16:48:00,144.02,144.02,144.02,144.02,8
"16",2018-08-01 16:49:00,143.93,143.93,143.88,143.88,38
"17",2018-08-01 16:51:00,143.88,143.92,143.83,143.92,699
"18",2018-08-01 16:52:00,143.89,143.89,143.63,143.65,373
"19",2018-08-01 16:53:00,143.66,143.66,143.59,143.59,104
"20",2018-08-01 16:54:00,143.62,143.65,143.62,143.65,200
"21",2018-08-01 16:56:00,143.65,143.65,143.65,143.65,1
"22",2018-08-01 16:57:00,143.55,143.62,143.53,143.62,1374
"23",2018-08-01 16:58:00,143.63,143.66,143.63,143.66,300
"24",2018-08-01 16:59:00,143.76,143.8,143.76,143.8,200
"25",2018-08-01 17:00:00,143.77,143.77,143.76,143.77,118
"26",2018-08-01 17:02:00,143.57,143.57,143.57,143.57,100
"27",2018-08-01 17:03:00,143.65,143.78,143.65,143.78,815
"28",2018-08-01 17:04:00,143.76,143.78,143.74,143.74,1110
"29",2018-08-01 17:05:00,143.66,143.66,143.45,143.45,511
"30",2018-08-01 17:06:00,143.4,143.4,143.33,143.33,307
"31",2018-08-01 17:07:00,143.4,143.47,143.4,143.46,463
"32",2018-08-01 17:08:00,143.58,143.58,143.58,143.58,100
"33",2018-08-01 17:09:00,143.59,143.6,143.59,143.6,400
"34",2018-08-01 17:10:00,143.6,143.67,143.49,143.67,2142
"35",2018-08-01 17:11:00,143.69,143.86,143.69,143.86,1033
"36",2018-08-01 17:12:00,143.84,143.84,143.81,143.81,160
"37",2018-08-01 17:13:00,143.9,143.9,143.87,143.87,300
"38",2018-08-01 17:14:00,143.86,143.86,143.67,143.67,402
"39",2018-08-01 17:15:00,143.74,143.84,143.73,143.84,401
"40",2018-08-01 17:16:00,143.83,143.89,143.82,143.88,326
"41",2018-08-01 17:17:00,143.87,143.89,143.84,143.84,690
"42",2018-08-01 17:18:00,143.83,143.83,143.74,143.74,500
"43",2018-08-01 17:19:00,143.76,143.76,143.76,143.76,200
"44",2018-08-01 17:20:00,143.8,143.84,143.8,143.8,521
"45",2018-08-01 17:21:00,143.8,143.8,143.71,143.72,1549
"46",2018-08-01 17:22:00,143.68,143.68,143.61,143.61,305
"47",2018-08-01 17:23:00,143.67,143.67,143.6,143.6,204
"48",2018-08-01 17:24:00,143.52,143.52,143.43,143.43,803
"49",2018-08-01 17:25:00,143.39,143.52,143.36,143.5,714
"50",2018-08-01 17:26:00,143.55,143.58,143.35,143.46,6418
"51",2018-08-01 17:27:00,143.45,143.46,143.21,143.21,2684
