"","time","open","high","low","close","volume"
"1",2018-08-01 00:02:00,173.31,173.31,173.31,173.31,50
"2",2018-08-01 00:04:00,173.25,173.32,173.25,173.32,13
"3",2018-08-01 00:07:00,173.39,173.39,173.3,173.39,197
"4",2018-08-01 00:08:00,173.31,173.36,173.31,173.34,40
"5",2018-08-01 00:09:00,173.3,173.3,173.28,173.28,130
"6",2018-08-01 00:12:00,173.27,173.27,173.27,173.27,202
"7",2018-08-01 00:13:00,173.25,173.25,173.25,173.25,69
"8",2018-08-01 00:14:00,173.24,173.24,173.24,173.24,121
"9",2018-08-01 00:16:00,173.23,173.27,173.23,173.27,58
"10",2018-08-01 00:23:00,173.39,173.39,173.39,173.39,10
"11",2018-08-01 00:25:00,173.44,173.44,173.44,173.44,100
"12",2018-08-01 00:26:00,173.44,173.5,173.44,173.49,410
"13",2018-08-01 00:27:00,173.49,173.5,173.45,173.45,1040
"14",2018-08-01 00:28:00,173.48,173.48,173.45,173.45,1025
"15",2018-08-01 00:30:00,173.48,173.48,173.48,173.48,130
"16",2018-08-01 00:31:00,173.48,173.48,173.42,173.42,103
"17",2018-08-01 00:32:00,173.48,173.48,173.42,173.48,139
"18",2018-08-01 00:33:00,173.48,173.48,173.48,173.48,403
"19",2018-08-01 00:39:00,173.44,173.44,173.44,173.44,10
"20",2018-08-01 00:40:00,173.44,173.45,173.44,173.45,60
"21",2018-08-01 00:41:00,173.45,173.45,173.4,173.4,166
"22",2018-08-01 00:47:00,173.35,173.35,173.35,173.35,159
"23",2018-08-01 00:48:00,173.35,173.35,173.35,173.35,41
"24",2018-08-01 00:49:00,173.3,173.3,173.21,173.21,11
"25",2018-08-01 00:50:00,173.3,173.3,173.3,173.3,642
"26",2018-08-01 00:51:00,173.35,173.35,173.35,173.35,159
"27",2018-08-01 00:54:00,173.45,173.45,173.45,173.45,1000
"28",2018-08-01 00:58:00,173.46,173.47,173.46,173.47,473
"29",2018-08-01 00:59:00,173.47,173.47,173.47,173.47,300
"30",2018-08-01 01:00:00,173.49,173.49,173.49,173.49,200
"31",2018-08-01 01:02:00,173.45,173.45,173.35,173.35,85
"32",2018-08-01 01:03:00,173.33,173.43,173.33,173.43,50
"33",2018-08-01 01:05:00,173.3,173.3,173.3,173.3,250
"34",2018-08-01 01:07:00,173.45,173.45,173.45,173.45,100
"35",2018-08-01 01:09:00,173.45,173.49,173.45,173.49,81
"36",2018-08-01 01:10:00,173.45,173.45,173.44,173.44,80
"37",2018-08-01 01:13:00,173.4,173.4,173.4,173.4,264
"38",2018-08-01 01:14:00,173.45,173.45,173.45,173.45,191
