"","time","open","high","low","close","volume"
"1",2018-08-01 14:16:00,80.85,80.85,80.85,80.85,5
"2",2018-08-01 16:30:00,80.93,80.93,80.93,80.93,200
"3",2018-08-01 16:31:00,80.77,80.93,80.76,80.93,904
"4",2018-08-01 16:32:00,80.96,81.09,80.92,81.04,2040
"5",2018-08-01 16:33:00,80.94,80.94,80.75,80.78,2270
"6",2018-08-01 16:34:00,80.82,80.89,80.82,80.88,1000
"7",2018-08-01 16:35:00,80.86,80.86,80.65,80.8,750
"8",2018-08-01 16:36:00,80.86,80.91,80.73,80.77,2801
"9",2018-08-01 16:37:00,80.71,80.77,80.67,80.77,987
"10",2018-08-01 16:38:00,80.72,80.79,80.69,80.72,1182
"11",2018-08-01 16:39:00,80.72,80.76,80.66,80.7,1050
"12",2018-08-01 16:40:00,80.74,80.74,80.63,80.63,700
"13",2018-08-01 16:41:00,80.69,80.72,80.61,80.61,537
"14",2018-08-01 16:42:00,80.63,80.68,80.62,80.62,505
"15",2018-08-01 16:43:00,80.66,80.66,80.55,80.62,592
"16",2018-08-01 16:44:00,80.67,80.69,80.64,80.64,800
"17",2018-08-01 16:45:00,80.64,80.73,80.63,80.73,800
"18",2018-08-01 16:46:00,80.68,80.7,80.64,80.68,1120
"19",2018-08-01 16:47:00,80.69,80.7,80.66,80.66,1138
"20",2018-08-01 16:48:00,80.67,80.72,80.67,80.71,3391
"21",2018-08-01 16:49:00,80.72,80.73,80.6,80.64,1111
"22",2018-08-01 16:50:00,80.64,80.64,80.53,80.56,1120
"23",2018-08-01 16:51:00,80.56,80.56,80.5,80.5,1200
"24",2018-08-01 16:52:00,80.59,80.65,80.59,80.65,1130
"25",2018-08-01 16:53:00,80.69,80.77,80.69,80.77,338
"26",2018-08-01 16:54:00,80.84,80.98,80.83,80.95,3600
"27",2018-08-01 16:55:00,80.94,81.05,80.9,81.04,1088
"28",2018-08-01 16:56:00,81.07,81.07,80.98,80.98,819
"29",2018-08-01 16:57:00,80.95,81,80.95,81,500
"30",2018-08-01 16:58:00,80.99,80.99,80.94,80.96,1110
"31",2018-08-01 16:59:00,80.92,80.95,80.92,80.95,350
"32",2018-08-01 17:00:00,80.92,80.96,80.92,80.96,410
"33",2018-08-01 17:01:00,80.97,80.97,80.87,80.89,674
"34",2018-08-01 17:02:00,80.87,80.87,80.77,80.77,1224
