"","time","open","high","low","close","volume"
"1",2019-08-01 00:02:00,153.6,153.6,153.6,153.6,1
"2",2019-08-01 00:16:00,153.79,153.79,153.79,153.79,821
"3",2019-08-01 00:18:00,153.79,153.79,153.79,153.79,200
"4",2019-08-01 00:19:00,153.77,153.77,153.77,153.77,1
"5",2019-08-01 00:21:00,153.77,153.77,153.77,153.77,6
"6",2019-08-01 00:24:00,153.6,153.6,153.6,153.6,20
"7",2019-08-01 00:25:00,153.79,153.79,153.79,153.79,11
"8",2019-08-01 00:26:00,153.79,153.79,153.79,153.79,50
"9",2019-08-01 00:38:00,153.6,153.6,153.6,153.6,79
"10",2019-08-01 00:45:00,153.5,153.5,153.5,153.5,3
"11",2019-08-01 00:46:00,153.5,153.5,153.5,153.5,10
"12",2019-08-01 00:51:00,153.5,153.5,153.5,153.5,99
"13",2019-08-01 00:56:00,153.79,153.79,153.79,153.79,60
"14",2019-08-01 01:05:00,153.5,153.5,153.5,153.5,112
"15",2019-08-01 01:06:00,153.5,153.5,153.5,153.5,500
"16",2019-08-01 01:08:00,153.44,153.44,153.44,153.44,106
"17",2019-08-01 01:16:00,153.79,153.79,153.79,153.79,9
"18",2019-08-01 01:26:00,153.79,153.79,153.79,153.79,220
"19",2019-08-01 01:34:00,153.79,153.79,153.79,153.79,25
"20",2019-08-01 01:35:00,153.5,153.5,153.5,153.5,2
"21",2019-08-01 01:50:00,153.79,153.79,153.79,153.79,32
"22",2019-08-01 10:26:00,153.23,153.23,153.23,153.23,2
"23",2019-08-01 10:30:00,153.23,153.23,153.23,153.23,8
"24",2019-08-01 10:47:00,154.23,154.39,154.23,154.39,2
"25",2019-08-01 11:01:00,153.27,153.27,153.27,153.27,1
"26",2019-08-01 11:09:00,154.28,154.28,154.28,154.28,1
"27",2019-08-01 11:27:00,153.55,153.55,153.55,153.55,1
"28",2019-08-01 12:16:00,154.98,154.98,154.98,154.98,2
"29",2019-08-01 13:26:00,155.55,155.89,155.55,155.89,17
"30",2019-08-01 13:30:00,155.5,155.5,155.5,155.5,8
"31",2019-08-01 14:07:00,155.21,155.21,155.21,155.21,6
"32",2019-08-01 14:16:00,155.15,155.15,155.15,155.15,45
"33",2019-08-01 14:18:00,154.97,154.97,154.97,154.97,100
"34",2019-08-01 14:52:00,154.87,154.87,154.87,154.87,94
"35",2019-08-01 15:07:00,155,155,155,155,30
"36",2019-08-01 15:08:00,155,155,155,155,100
"37",2019-08-01 15:10:00,155,155,155,155,70
"38",2019-08-01 15:16:00,155.22,155.22,155.22,155.22,45
"39",2019-08-01 15:18:00,154.87,154.87,154.87,154.87,106
"40",2019-08-01 15:33:00,154.97,154.97,154.97,154.97,110
"41",2019-08-01 15:58:00,155.08,155.08,155.08,155.08,100
"42",2019-08-01 15:59:00,155.1,155.1,155.1,155.1,400
"43",2019-08-01 16:02:00,155.07,155.07,155.07,155.07,40
"44",2019-08-01 16:12:00,154.87,154.87,154.87,154.87,2
"45",2019-08-01 16:13:00,154.87,154.87,154.87,154.87,1
"46",2019-08-01 16:14:00,154.87,154.87,154.87,154.87,97
"47",2019-08-01 16:19:00,155,155,155,155,4
"48",2019-08-01 16:20:00,154.95,155,154.95,155,200
"49",2019-08-01 16:22:00,154.76,154.76,154.76,154.76,59
"50",2019-08-01 16:28:00,155,155,155,155,20
"51",2019-08-01 16:31:00,154.75,154.98,154.67,154.95,3545
"52",2019-08-01 16:32:00,154.99,155.28,154.92,155.25,12358
"53",2019-08-01 16:33:00,155.35,155.43,154.79,154.8,9305
"54",2019-08-01 16:34:00,154.55,155.62,154.5,155.62,9525
"55",2019-08-01 16:35:00,155.54,155.74,155.41,155.54,4070
"56",2019-08-01 16:36:00,155.75,156.14,155.75,155.92,8921
"57",2019-08-01 16:37:00,155.94,156.17,155.94,156.07,2686
"58",2019-08-01 16:38:00,156.1,156.39,156.05,156.1,3566
"59",2019-08-01 16:39:00,156.18,156.28,156.01,156.18,5909
"60",2019-08-01 16:40:00,156.19,156.32,156.07,156.12,6194
"61",2019-08-01 16:41:00,156.15,156.4,156.07,156.07,5984
"62",2019-08-01 16:42:00,156,156,155.4,155.55,5013
"63",2019-08-01 16:43:00,155.62,155.84,155.46,155.84,4406
"64",2019-08-01 16:44:00,155.82,155.82,155.4,155.43,3063
"65",2019-08-01 16:45:00,155.41,155.74,155.34,155.64,3247
"66",2019-08-01 16:46:00,155.54,155.63,155.4,155.56,5518
"67",2019-08-01 16:47:00,155.49,155.57,155.25,155.31,8766
"68",2019-08-01 16:48:00,155.28,155.4,155.26,155.38,7057
"69",2019-08-01 16:49:00,155.39,155.58,155.34,155.44,7377
"70",2019-08-01 16:50:00,155.51,155.97,155.51,155.71,3986
"71",2019-08-01 16:51:00,155.93,155.99,155.83,155.99,2322
