"","time","open","high","low","close","volume"
"1",2019-08-01 00:05:00,101.01,101.01,101.01,101.01,5
"2",2019-08-01 16:30:00,101.6,101.6,101.3,101.31,3040
"3",2019-08-01 16:31:00,101.32,101.76,101.32,101.71,18878
"4",2019-08-01 16:33:00,101.4,101.41,101.18,101.41,2296
"5",2019-08-01 16:35:00,101.45,101.65,101.45,101.65,1693
"6",2019-08-01 16:36:00,101.66,101.67,101.46,101.67,2331
"7",2019-08-01 16:37:00,101.67,101.72,101.67,101.72,572
"8",2019-08-01 16:38:00,101.71,101.71,101.68,101.68,42
"9",2019-08-01 16:39:00,101.69,101.69,101.59,101.59,1556
"10",2019-08-01 16:40:00,101.66,101.69,101.66,101.67,2085
"11",2019-08-01 16:41:00,101.61,101.61,101.6,101.61,1942
"12",2019-08-01 16:42:00,101.76,101.84,101.76,101.84,615
"13",2019-08-01 16:43:00,101.82,101.86,101.78,101.86,622
"14",2019-08-01 16:44:00,101.84,101.9,101.81,101.87,64
"15",2019-08-01 16:45:00,101.85,101.85,101.68,101.71,646
"16",2019-08-01 16:46:00,101.81,101.81,101.74,101.74,755
"17",2019-08-01 16:47:00,101.73,101.73,101.68,101.72,174
"18",2019-08-01 16:48:00,101.74,101.82,101.65,101.82,519
"19",2019-08-01 16:49:00,101.82,101.94,101.82,101.94,214
"20",2019-08-01 16:50:00,101.95,101.96,101.88,101.88,801
"21",2019-08-01 16:51:00,101.94,101.98,101.93,101.93,860
"22",2019-08-01 16:52:00,101.97,102,101.91,101.96,620
"23",2019-08-01 16:53:00,102.02,102.02,101.88,101.92,628
"24",2019-08-01 16:54:00,101.93,102.03,101.93,102.02,746
"25",2019-08-01 16:55:00,102.07,102.07,102.02,102.03,343
"26",2019-08-01 16:56:00,101.97,102.1,101.94,102.09,684
"27",2019-08-01 16:57:00,102.05,102.15,102.05,102.15,533
"28",2019-08-01 16:58:00,102.15,102.32,102.15,102.32,466
"29",2019-08-01 16:59:00,102.26,102.27,102.24,102.25,716
"30",2019-08-01 17:00:00,102.21,102.26,102.19,102.21,983
"31",2019-08-01 17:01:00,102.19,102.27,102.17,102.27,2035
"32",2019-08-01 17:02:00,102.27,102.31,102.26,102.26,3134
"33",2019-08-01 17:03:00,102.21,102.21,102.17,102.21,222
"34",2019-08-01 17:04:00,102.11,102.11,102.09,102.09,300
"35",2019-08-01 17:05:00,102.08,102.12,102.08,102.12,505
"36",2019-08-01 17:06:00,102.1,102.11,102.05,102.05,421
"37",2019-08-01 17:07:00,102.09,102.17,102.09,102.17,505
"38",2019-08-01 17:08:00,102.19,102.31,102.19,102.31,660
"39",2019-08-01 17:09:00,102.34,102.37,102.33,102.37,1111
"40",2019-08-01 17:10:00,102.42,102.49,102.42,102.49,183
"41",2019-08-01 17:11:00,102.49,102.5,102.36,102.36,1529
"42",2019-08-01 17:12:00,102.37,102.4,102.35,102.37,1501
"43",2019-08-01 17:13:00,102.39,102.44,102.34,102.44,1935
"44",2019-08-01 17:14:00,102.44,102.44,102.39,102.43,2141
"45",2019-08-01 17:15:00,102.45,102.55,102.45,102.51,2647
"46",2019-08-01 17:16:00,102.51,102.52,102.44,102.45,653
"47",2019-08-01 17:17:00,102.47,102.47,102.44,102.44,132
"48",2019-08-01 17:18:00,102.42,102.44,102.36,102.36,844
"49",2019-08-01 17:19:00,102.41,102.42,102.41,102.41,400
"50",2019-08-01 17:20:00,102.47,102.47,102.47,102.47,100
"51",2019-08-01 17:21:00,102.49,102.52,102.43,102.52,649
"52",2019-08-01 17:22:00,102.48,102.48,102.42,102.42,145
"53",2019-08-01 17:23:00,102.44,102.44,102.44,102.44,210
"54",2019-08-01 17:24:00,102.48,102.51,102.48,102.51,216
"55",2019-08-01 17:25:00,102.5,102.5,102.48,102.49,740
"56",2019-08-01 17:26:00,102.5,102.5,102.49,102.49,121
"57",2019-08-01 17:27:00,102.47,102.53,102.46,102.53,335
"58",2019-08-01 17:28:00,102.52,102.65,102.52,102.65,1179
"59",2019-08-01 17:29:00,102.64,102.67,102.63,102.67,546
"60",2019-08-01 17:30:00,102.68,102.74,102.68,102.74,700
"61",2019-08-01 17:31:00,102.72,102.72,102.69,102.69,1598
"62",2019-08-01 17:32:00,102.68,102.7,102.68,102.69,417
"63",2019-08-01 17:33:00,102.72,102.74,102.67,102.68,826
"64",2019-08-01 17:34:00,102.67,102.69,102.67,102.69,836
"65",2019-08-01 17:35:00,102.68,102.71,102.65,102.65,499
"66",2019-08-01 17:36:00,102.66,102.66,102.56,102.56,724
"67",2019-08-01 17:37:00,102.57,102.57,102.52,102.54,228
"68",2019-08-01 17:38:00,102.59,102.68,102.59,102.68,707
"69",2019-08-01 17:39:00,102.66,102.66,102.56,102.56,1082
"70",2019-08-01 17:40:00,102.55,102.55,102.47,102.47,257
"71",2019-08-01 17:41:00,102.47,102.49,102.45,102.45,702
"72",2019-08-01 17:42:00,102.46,102.51,102.46,102.51,607
"73",2019-08-01 17:43:00,102.53,102.63,102.53,102.6,1324
"74",2019-08-01 17:44:00,102.6,102.7,102.59,102.7,433
"75",2019-08-01 17:45:00,102.7,102.74,102.69,102.71,930
"76",2019-08-01 17:46:00,102.72,102.73,102.66,102.68,1128
"77",2019-08-01 17:47:00,102.73,102.73,102.73,102.73,105
"78",2019-08-01 17:48:00,102.75,102.77,102.73,102.73,744
"79",2019-08-01 17:49:00,102.76,102.83,102.75,102.75,966
"80",2019-08-01 17:50:00,102.74,102.74,102.68,102.7,720
"81",2019-08-01 17:51:00,102.7,102.81,102.7,102.81,420
"82",2019-08-01 17:52:00,102.81,102.81,102.76,102.79,1094
"83",2019-08-01 17:53:00,102.82,102.82,102.78,102.82,581
