"","time","open","high","low","close","volume"
"1",2020-08-01 00:22:00,1152.99,1152.99,1152.99,1152.99,2
"2",2020-08-01 00:51:00,1150.27,1150.27,1150.27,1150.27,1
"3",2020-08-03 13:32:00,1153,1153,1153,1153,1
"4",2020-08-03 14:06:00,1159.65,1159.65,1159.65,1159.65,1
"5",2020-08-03 14:21:00,1159.65,1159.65,1159.65,1159.65,1
"6",2020-08-03 14:22:00,1159.65,1159.65,1159.65,1159.65,1
"7",2020-08-03 14:27:00,1163.39,1163.39,1163.39,1163.39,1
"8",2020-08-03 14:29:00,1162.86,1162.86,1162.86,1162.86,1
"9",2020-08-03 14:34:00,1162,1162,1162,1162,1
"10",2020-08-03 15:54:00,1160,1160,1160,1160,1
"11",2020-08-03 15:58:00,1160,1160,1160,1160,1
"12",2020-08-03 15:59:00,1159.75,1159.75,1155.84,1159,33
"13",2020-08-03 16:00:00,1155.16,1155.16,1155.16,1155.16,3
"14",2020-08-03 16:03:00,1155.16,1155.16,1155.16,1155.16,1
"15",2020-08-03 16:25:00,1155,1155,1155,1155,2
"16",2020-08-03 16:29:00,1158.45,1158.45,1158.45,1158.45,1
"17",2020-08-03 16:31:00,1155,1155,1149.38,1149.38,942
"18",2020-08-03 16:32:00,1151.18,1151.41,1151.11,1151.11,107
"19",2020-08-03 16:33:00,1153.22,1158.5,1153.22,1158.5,608
"20",2020-08-03 16:34:00,1154.86,1154.86,1151.96,1151.96,52
"21",2020-08-03 16:35:00,1152,1153.02,1150,1150.65,434
"22",2020-08-03 16:36:00,1150.8,1150.8,1147.9,1149.04,486
"23",2020-08-03 16:37:00,1150.36,1151.81,1150.36,1151.81,374
"24",2020-08-03 16:38:00,1153.58,1153.74,1153.58,1153.74,19
"25",2020-08-03 16:39:00,1154.21,1155.37,1153.06,1153.06,39
"26",2020-08-03 16:41:00,1153.47,1153.47,1153.47,1153.47,1
"27",2020-08-03 16:42:00,1151.37,1153.89,1151.37,1153.74,57
"28",2020-08-03 16:44:00,1151.85,1153.01,1151.23,1153.01,109
"29",2020-08-03 16:45:00,1153.73,1153.73,1153.16,1153.16,29
"30",2020-08-03 16:46:00,1154.63,1154.63,1154.63,1154.63,5
"31",2020-08-03 16:47:00,1154.25,1154.25,1152.09,1152.09,4
"32",2020-08-03 16:48:00,1152.09,1152.09,1152.09,1152.09,9
"33",2020-08-03 16:49:00,1151.93,1151.93,1151.93,1151.93,4
"34",2020-08-03 16:50:00,1151.72,1151.72,1151.71,1151.71,8
"35",2020-08-03 16:51:00,1151.67,1152.75,1151.67,1152.75,3
"36",2020-08-03 16:52:00,1152.5,1152.5,1152.5,1152.5,1
"37",2020-08-03 16:53:00,1153.88,1154.6,1152.48,1152.94,551
"38",2020-08-03 16:54:00,1152.5,1153,1152.35,1153,8
"39",2020-08-03 16:55:00,1152.04,1152.04,1150.08,1150.08,279
"40",2020-08-03 16:56:00,1150.93,1150.93,1150.93,1150.93,2
"41",2020-08-03 16:57:00,1150.94,1150.94,1150,1150,379
"42",2020-08-03 16:58:00,1148.83,1148.83,1148.82,1148.82,128
"43",2020-08-03 16:59:00,1148.74,1150.27,1145.76,1146,1495
"44",2020-08-03 17:00:00,1146.14,1146.14,1146,1146,92
"45",2020-08-03 17:01:00,1147.54,1150.1,1147.54,1149.99,450
"46",2020-08-03 17:02:00,1150.15,1150.3,1149.63,1150.3,335
"47",2020-08-03 17:03:00,1148.97,1148.97,1148.94,1148.94,29
"48",2020-08-03 17:04:00,1148.64,1148.64,1147.95,1147.95,219
"49",2020-08-03 17:05:00,1148.19,1148.19,1148.15,1148.15,46
"50",2020-08-03 17:06:00,1147.74,1147.74,1147.62,1147.62,41
"51",2020-08-03 17:07:00,1147.83,1147.83,1147.08,1147.08,242
"52",2020-08-03 17:09:00,1147.8,1147.99,1146.88,1146.88,526
"53",2020-08-03 17:10:00,1147.85,1147.85,1147.85,1147.85,1
"54",2020-08-03 17:11:00,1147.09,1147.09,1147.09,1147.09,1
"55",2020-08-03 17:12:00,1147.65,1147.65,1146.75,1146.75,382
"56",2020-08-03 17:13:00,1146.75,1146.75,1144.43,1144.43,242
"57",2020-08-03 17:14:00,1144.41,1144.41,1142.79,1144.08,272
"58",2020-08-03 17:15:00,1144.07,1144.22,1143.26,1144.22,231
"59",2020-08-03 17:16:00,1143.26,1143.26,1143.26,1143.26,71
"60",2020-08-03 17:17:00,1142.86,1142.86,1140,1141.81,416
"61",2020-08-03 17:18:00,1142.03,1142.69,1142.03,1142.17,402
"62",2020-08-03 17:19:00,1142.27,1143.06,1142.27,1143.06,2
"63",2020-08-03 17:20:00,1142,1142.01,1141.63,1141.81,219
"64",2020-08-03 17:21:00,1141.68,1141.68,1140.38,1140.38,276
"65",2020-08-03 17:23:00,1141.38,1141.38,1141.38,1141.38,1
"66",2020-08-03 17:24:00,1142.38,1142.38,1141.61,1141.61,31
"67",2020-08-03 17:25:00,1140.9,1142.69,1140.9,1142.69,128
"68",2020-08-03 17:26:00,1143.17,1143.18,1141.72,1141.72,427
"69",2020-08-03 17:27:00,1140.68,1140.68,1140.54,1140.54,279
"70",2020-08-03 17:28:00,1141.37,1141.54,1141.37,1141.54,100
"71",2020-08-03 17:29:00,1140.98,1141.86,1140.81,1141.86,66
"72",2020-08-03 17:30:00,1142.97,1142.97,1142.18,1142.18,277
"73",2020-08-03 17:32:00,1144,1144.26,1144,1144.26,167
"74",2020-08-03 17:34:00,1145.01,1145.63,1145.01,1145.63,13
"75",2020-08-03 17:35:00,1145.04,1145.04,1145.02,1145.02,109
"76",2020-08-03 17:36:00,1146.61,1146.92,1146.61,1146.92,12
"77",2020-08-03 17:37:00,1148.69,1148.87,1147.31,1147.31,243
"78",2020-08-03 17:38:00,1148.23,1148.35,1148.23,1148.35,6
"79",2020-08-03 17:40:00,1148.4,1148.4,1146.98,1146.98,337
"80",2020-08-03 17:41:00,1146.37,1146.37,1146.37,1146.37,1
"81",2020-08-03 17:43:00,1146.37,1146.37,1145.43,1145.43,204
"82",2020-08-03 17:44:00,1145.84,1145.84,1145.84,1145.84,3
"83",2020-08-03 17:45:00,1146.34,1146.34,1145.53,1145.53,5
"84",2020-08-03 17:46:00,1146.22,1146.22,1144.95,1144.95,110
"85",2020-08-03 17:47:00,1144.95,1144.95,1143.79,1143.79,178
"86",2020-08-03 17:48:00,1142.17,1142.17,1139.04,1139.04,441
"87",2020-08-03 17:49:00,1139.96,1140.13,1139.86,1139.86,110
"88",2020-08-03 17:50:00,1139.69,1139.79,1136.88,1138.86,234
"89",2020-08-03 17:51:00,1138.86,1139.12,1137.64,1137.64,619
"90",2020-08-03 17:52:00,1137.59,1137.59,1136,1136.42,205
"91",2020-08-03 17:53:00,1137.15,1138.12,1137.15,1138.07,382
"92",2020-08-03 17:54:00,1138.1,1138.1,1137.45,1137.45,220
"93",2020-08-03 17:56:00,1138.37,1138.95,1138.29,1138.95,100
"94",2020-08-03 17:57:00,1139.29,1139.33,1138.95,1138.95,69
"95",2020-08-03 17:58:00,1139.7,1139.7,1138.93,1138.93,2
"96",2020-08-03 17:59:00,1138.93,1139.74,1138.75,1139.23,167
"97",2020-08-03 18:00:00,1139.22,1140.63,1139.09,1140.63,252
"98",2020-08-03 18:01:00,1139.63,1139.63,1138.23,1139.62,203
"99",2020-08-03 18:02:00,1139.31,1139.86,1139.31,1139.86,2
"100",2020-08-03 18:03:00,1139.36,1139.67,1139.22,1139.22,109
"101",2020-08-03 18:04:00,1140.1,1140.14,1140.1,1140.14,150
"102",2020-08-03 18:05:00,1139.2,1140,1139.2,1140,128
"103",2020-08-03 18:06:00,1139.73,1140.34,1138.94,1140.34,106
"104",2020-08-03 18:07:00,1138.97,1138.97,1138.81,1138.89,353
"105",2020-08-03 18:08:00,1139,1139,1139,1139,1
"106",2020-08-03 18:10:00,1138.96,1138.96,1138.95,1138.95,2
"107",2020-08-03 18:11:00,1138.48,1138.48,1138.17,1138.17,21
"108",2020-08-03 18:12:00,1139.54,1139.54,1138.76,1138.76,4
"109",2020-08-03 18:13:00,1139.24,1139.85,1138.7,1138.7,517
"110",2020-08-03 18:14:00,1139,1139.64,1138.5,1139.64,18
"111",2020-08-03 18:15:00,1139,1139,1139,1139,21
"112",2020-08-03 18:16:00,1139.53,1139.53,1139.42,1139.42,2
"113",2020-08-03 18:17:00,1139.75,1140.45,1139.75,1139.82,125
"114",2020-08-03 18:18:00,1140.5,1140.72,1140.08,1140.08,257
"115",2020-08-03 18:19:00,1140.5,1140.84,1140.5,1140.84,55
"116",2020-08-03 18:21:00,1141,1141,1140.59,1140.59,6
"117",2020-08-03 18:22:00,1141.14,1141.51,1140.63,1140.63,49
"118",2020-08-03 18:23:00,1140.18,1140.26,1140.18,1140.26,2
"119",2020-08-03 18:24:00,1141,1141,1141,1141,4
"120",2020-08-03 18:25:00,1141.35,1141.35,1140.54,1140.54,3
"121",2020-08-03 18:27:00,1140.69,1140.69,1140.69,1140.69,9
"122",2020-08-03 18:28:00,1140.69,1140.69,1140.69,1140.69,91
"123",2020-08-03 18:29:00,1140.6,1140.6,1139.44,1139.44,187
"124",2020-08-03 18:30:00,1140.37,1140.37,1140.37,1140.37,1
"125",2020-08-03 18:31:00,1140.88,1140.88,1140.88,1140.88,7
"126",2020-08-03 18:32:00,1141.4,1141.43,1141.37,1141.43,12
"127",2020-08-03 18:33:00,1141.01,1142.37,1141.01,1142.37,129
"128",2020-08-03 18:34:00,1141.95,1141.95,1141.95,1141.95,95
"129",2020-08-03 18:36:00,1142.34,1142.34,1142.34,1142.34,2
"130",2020-08-03 18:37:00,1142.48,1142.48,1142.48,1142.48,1
"131",2020-08-03 18:38:00,1142.11,1142.11,1141.33,1141.33,162
"132",2020-08-03 18:39:00,1142,1142.15,1142,1142.15,160
"133",2020-08-03 18:40:00,1143.01,1143.02,1143.01,1143.02,13
"134",2020-08-03 18:41:00,1143,1143.03,1143,1143.03,104
"135",2020-08-03 18:43:00,1144.52,1145.43,1143.52,1143.52,313
"136",2020-08-03 18:44:00,1143.92,1143.92,1143.85,1143.85,105
"137",2020-08-03 18:46:00,1143.79,1143.79,1143.79,1143.79,1
"138",2020-08-03 18:47:00,1143.92,1144.11,1143.92,1144.11,34
"139",2020-08-03 18:48:00,1143.79,1144.24,1143.33,1144.24,25
"140",2020-08-03 18:49:00,1144.11,1144.11,1143.8,1143.8,11
"141",2020-08-03 18:50:00,1144.21,1144.66,1144.21,1144.66,464
"142",2020-08-03 18:51:00,1144.48,1144.48,1144.48,1144.48,1
"143",2020-08-03 18:52:00,1145.17,1145.33,1145.17,1145.33,5
"144",2020-08-03 18:53:00,1145.99,1146.4,1145.99,1146.4,11
"145",2020-08-03 18:54:00,1146.4,1146.4,1146.4,1146.4,2
"146",2020-08-03 18:55:00,1146.4,1146.4,1146.4,1146.4,1
"147",2020-08-03 18:56:00,1146.43,1147.07,1144.96,1144.96,248
"148",2020-08-03 18:58:00,1144.94,1144.94,1144.57,1144.57,5
"149",2020-08-03 18:59:00,1144.31,1145.82,1144.31,1145.82,3
"150",2020-08-03 19:02:00,1145.19,1145.19,1145.19,1145.19,20
"151",2020-08-03 19:03:00,1145.19,1145.19,1144.33,1144.33,95
"152",2020-08-03 19:04:00,1144.8,1144.95,1144.8,1144.95,17
"153",2020-08-03 19:05:00,1144.79,1144.79,1144.79,1144.79,2
"154",2020-08-03 19:06:00,1144.74,1144.74,1144.74,1144.74,2
"155",2020-08-03 19:07:00,1144.18,1145,1144.18,1144.18,147
"156",2020-08-03 19:08:00,1143.7,1143.7,1142.58,1142.58,48
"157",2020-08-03 19:09:00,1143.34,1143.34,1143.27,1143.27,3
"158",2020-08-03 19:10:00,1142.59,1142.59,1142.58,1142.58,37
"159",2020-08-03 19:11:00,1142.8,1142.8,1142.56,1142.56,268
"160",2020-08-03 19:12:00,1142.14,1142.14,1140.3,1140.3,72
"161",2020-08-03 19:13:00,1140.19,1140.24,1140.19,1140.24,9
"162",2020-08-03 19:14:00,1140.24,1140.24,1140.24,1140.24,2
"163",2020-08-03 19:15:00,1141.15,1141.5,1141.15,1141.5,75
"164",2020-08-03 19:16:00,1141.48,1141.48,1139.69,1139.69,41
"165",2020-08-03 19:17:00,1139.99,1139.99,1139.99,1139.99,1
