<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.PFE,1,01/03/22,09:31,58.4700000,58.5150000,58.2700000,58.3400000,26724
US1.PFE,1,01/03/22,09:32,58.3400000,58.3400000,57.8600000,57.8900000,20600
US1.PFE,1,01/03/22,09:33,57.8900000,57.8900000,57.5600000,57.5600000,19569
US1.PFE,1,01/03/22,09:34,57.5600000,57.6700000,57.4500000,57.4700000,12902
US1.PFE,1,01/03/22,09:35,57.5700000,57.6300000,57.4000000,57.5000000,11586
US1.PFE,1,01/03/22,09:36,57.5600000,57.6000000,57.4200000,57.4900000,12076
US1.PFE,1,01/03/22,09:37,57.4900000,57.4900000,57.2500000,57.2700000,9386
US1.PFE,1,01/03/22,09:38,57.3100000,57.3100000,57.1800000,57.2500000,6786
US1.PFE,1,01/03/22,09:39,57.2500000,57.3200000,57.1200000,57.3000000,9799
US1.PFE,1,01/03/22,09:40,57.3200000,57.3500000,57.2400000,57.3000000,7692
US1.PFE,1,01/03/22,09:41,57.3200000,57.3800000,57.1700000,57.1700000,8778
US1.PFE,1,01/03/22,09:42,57.2700000,57.3200000,57.2100000,57.3200000,8239
US1.PFE,1,01/03/22,09:43,57.3400000,57.3700000,57.2500000,57.3700000,9288
US1.PFE,1,01/03/22,09:44,57.3700000,57.4000000,57.1900000,57.2500000,13656
US1.PFE,1,01/03/22,09:45,57.2400000,57.2400000,57.1200000,57.1300000,9009
US1.PFE,1,01/03/22,09:46,57.1300000,57.1900000,57.0200000,57.1500000,23296
US1.PFE,1,01/03/22,09:47,57.1200000,57.2100000,57.0500000,57.2000000,9045
US1.PFE,1,01/03/22,09:48,57.2200000,57.2400000,56.9200000,56.9800000,30205
US1.PFE,1,01/03/22,09:49,56.9700000,57.0700000,56.9000000,57.0700000,16591
US1.PFE,1,01/03/22,09:50,57.0700000,57.0900000,56.9000000,57.0900000,9286
US1.PFE,1,01/03/22,09:51,57.1000000,57.1000000,56.9400000,56.9900000,9983
US1.PFE,1,01/03/22,09:52,57.0000000,57.0300000,56.8700000,56.8800000,11613
US1.PFE,1,01/03/22,09:53,56.8800000,56.8900000,56.8100000,56.8800000,8411
US1.PFE,1,01/03/22,09:54,56.8800000,56.8900000,56.8100000,56.8600000,7969
US1.PFE,1,01/03/22,09:55,56.9000000,56.9200000,56.8800000,56.9000000,9401
US1.PFE,1,01/03/22,09:56,56.8900000,56.9000000,56.8600000,56.8800000,11914
US1.PFE,1,01/03/22,09:57,56.8700000,56.8800000,56.8000000,56.8300000,9251
US1.PFE,1,01/03/22,09:58,56.8500000,56.8500000,56.5800000,56.6900000,19640
US1.PFE,1,01/03/22,09:59,56.7200000,56.7300000,56.6100000,56.6600000,10549
US1.PFE,1,01/03/22,10:00,56.6400000,56.7100000,56.6300000,56.6950000,15582
US1.PFE,1,01/03/22,10:01,56.7500000,56.7700000,56.6800000,56.6800000,12769
US1.PFE,1,01/03/22,10:02,56.6900000,56.7200000,56.5700000,56.6400000,16992
US1.PFE,1,01/03/22,10:03,56.6400000,56.6800000,56.6300000,56.6800000,8721
US1.PFE,1,01/03/22,10:04,56.6800000,56.7400000,56.6650000,56.7000000,6837
US1.PFE,1,01/03/22,10:05,56.7200000,56.7500000,56.7000000,56.7000000,11024
US1.PFE,1,01/03/22,10:06,56.7000000,56.8800000,56.7000000,56.8600000,7737
US1.PFE,1,01/03/22,10:07,56.8250000,56.8600000,56.7700000,56.8600000,6108
US1.PFE,1,01/03/22,10:08,56.8400000,56.8800000,56.8300000,56.8400000,4976
US1.PFE,1,01/03/22,10:09,56.8300000,56.9200000,56.8300000,56.8900000,8041
US1.PFE,1,01/03/22,10:10,56.9200000,57.0600000,56.9200000,57.0400000,3400
US1.PFE,1,01/03/22,10:11,57.0700000,57.1000000,57.0500000,57.0500000,5596
US1.PFE,1,01/03/22,10:12,57.0600000,57.0800000,57.0300000,57.0800000,4814
US1.PFE,1,01/03/22,10:13,57.0700000,57.1000000,57.0450000,57.0450000,5786
US1.PFE,1,01/03/22,10:14,57.0500000,57.0600000,56.9900000,57.0300000,5848
US1.PFE,1,01/03/22,10:15,57.0200000,57.0400000,56.9300000,56.9600000,6262
US1.PFE,1,01/03/22,10:16,56.9400000,57.0100000,56.9400000,56.9700000,5618
US1.PFE,1,01/03/22,10:17,56.9800000,57.0200000,56.9500000,57.0200000,3500
US1.PFE,1,01/03/22,10:18,57.0200000,57.0500000,56.9800000,57.0000000,5600
US1.PFE,1,01/03/22,10:19,57.0200000,57.0300000,56.9900000,57.0000000,5037
US1.PFE,1,01/03/22,10:20,57.0100000,57.1200000,57.0100000,57.0900000,2800
US1.PFE,1,01/03/22,10:21,57.0900000,57.1700000,57.0900000,57.1600000,4800
US1.PFE,1,01/03/22,10:22,57.1900000,57.1900000,57.0800000,57.1100000,5939
US1.PFE,1,01/03/22,10:23,57.1100000,57.1400000,57.1000000,57.1300000,2511
US1.PFE,1,01/03/22,10:24,57.1400000,57.1800000,57.1400000,57.1700000,3100
US1.PFE,1,01/03/22,10:25,57.1600000,57.2350000,57.1600000,57.2200000,7299
US1.PFE,1,01/03/22,10:26,57.2300000,57.2800000,57.2100000,57.2700000,9609
US1.PFE,1,01/03/22,10:27,57.3000000,57.3800000,57.3000000,57.3700000,5640
US1.PFE,1,01/03/22,10:28,57.3500000,57.3700000,57.3200000,57.3500000,6353
US1.PFE,1,01/03/22,10:29,57.3600000,57.4000000,57.3400000,57.3500000,11350
US1.PFE,1,01/03/22,10:30,57.3900000,57.4200000,57.3500000,57.3700000,5237
US1.PFE,1,01/03/22,10:31,57.3700000,57.3800000,57.2200000,57.2200000,8245
US1.PFE,1,01/03/22,10:32,57.1800000,57.2300000,57.1300000,57.1700000,3826
US1.PFE,1,01/03/22,10:33,57.1700000,57.2000000,57.1500000,57.1600000,5286
US1.PFE,1,01/03/22,10:34,57.1900000,57.2200000,57.1800000,57.2200000,2200
US1.PFE,1,01/03/22,10:35,57.2200000,57.2200000,57.1800000,57.1850000,3130
US1.PFE,1,01/03/22,10:36,57.1800000,57.1800000,57.1000000,57.1000000,2994
US1.PFE,1,01/03/22,10:37,57.1000000,57.1000000,56.9800000,57.0100000,6442
US1.PFE,1,01/03/22,10:38,57.0000000,57.0300000,56.9900000,56.9900000,3280
US1.PFE,1,01/03/22,10:39,57.0000000,57.0600000,57.0000000,57.0600000,2600
US1.PFE,1,01/03/22,10:40,57.0700000,57.1600000,57.0700000,57.1600000,4002
US1.PFE,1,01/03/22,10:41,57.1600000,57.1800000,57.1300000,57.1500000,2249
US1.PFE,1,01/03/22,10:42,57.1500000,57.1500000,56.9500000,56.9600000,10861
US1.PFE,1,01/03/22,10:43,56.9400000,56.9900000,56.8900000,56.9100000,9019
US1.PFE,1,01/03/22,10:44,56.9000000,56.9600000,56.9000000,56.9600000,3300
US1.PFE,1,01/03/22,10:45,56.9700000,57.0300000,56.9700000,56.9900000,3900
US1.PFE,1,01/03/22,10:46,57.0100000,57.0900000,56.9900000,56.9900000,4053
US1.PFE,1,01/03/22,10:47,56.9900000,57.0300000,56.9500000,57.0300000,4981
US1.PFE,1,01/03/22,10:48,57.0300000,57.1700000,57.0300000,57.1700000,12968
US1.PFE,1,01/03/22,10:49,57.1400000,57.2100000,57.1400000,57.1700000,2600
US1.PFE,1,01/03/22,10:50,57.1500000,57.1700000,57.1200000,57.1600000,2100
US1.PFE,1,01/03/22,10:51,57.1600000,57.2100000,57.1600000,57.1700000,1000
US1.PFE,1,01/03/22,10:52,57.1600000,57.1900000,57.1600000,57.1800000,1900
US1.PFE,1,01/03/22,10:53,57.1900000,57.1900000,57.1400000,57.1500000,2386
US1.PFE,1,01/03/22,10:54,57.1400000,57.1500000,57.1050000,57.1200000,1969
US1.PFE,1,01/03/22,10:55,57.1200000,57.1400000,57.1200000,57.1300000,2440
US1.PFE,1,01/03/22,10:56,57.1200000,57.1200000,57.0700000,57.1000000,4607
US1.PFE,1,01/03/22,10:57,57.1000000,57.1000000,57.0300000,57.0700000,4000
US1.PFE,1,01/03/22,10:58,57.0700000,57.0900000,57.0700000,57.0700000,2414
US1.PFE,1,01/03/22,10:59,57.1000000,57.1300000,57.0900000,57.1300000,3500
US1.PFE,1,01/03/22,11:00,57.1300000,57.1700000,57.1300000,57.1300000,3800
US1.PFE,1,01/03/22,11:01,57.1200000,57.1200000,57.0650000,57.0700000,2100
US1.PFE,1,01/03/22,11:02,57.0450000,57.0550000,57.0000000,57.0100000,4400
US1.PFE,1,01/03/22,11:03,56.9900000,56.9900000,56.9500000,56.9500000,2064
US1.PFE,1,01/03/22,11:04,56.9600000,56.9600000,56.9000000,56.9300000,6874
US1.PFE,1,01/03/22,11:05,56.9300000,56.9300000,56.8650000,56.8900000,10430
US1.PFE,1,01/03/22,11:06,56.8900000,56.9400000,56.8900000,56.9100000,2500
US1.PFE,1,01/03/22,11:07,56.9050000,56.9100000,56.8500000,56.8500000,2085
US1.PFE,1,01/03/22,11:08,56.8400000,56.9100000,56.8400000,56.8900000,6861
US1.PFE,1,01/03/22,11:09,56.8800000,56.8900000,56.8500000,56.8600000,4200
US1.PFE,1,01/03/22,11:10,56.8950000,56.9300000,56.8900000,56.9300000,4500
US1.PFE,1,01/03/22,11:11,56.9300000,56.9600000,56.9150000,56.9500000,2700
US1.PFE,1,01/03/22,11:12,56.9400000,56.9400000,56.9100000,56.9100000,3055
US1.PFE,1,01/03/22,11:13,56.9200000,56.9300000,56.9100000,56.9200000,4839
US1.PFE,1,01/03/22,11:14,56.9200000,56.9400000,56.9100000,56.9100000,3874
US1.PFE,1,01/03/22,11:15,56.9150000,56.9800000,56.9150000,56.9800000,2500
US1.PFE,1,01/03/22,11:16,56.9700000,57.0250000,56.9700000,57.0200000,4533
US1.PFE,1,01/03/22,11:17,57.0200000,57.0300000,56.9950000,57.0100000,1900
US1.PFE,1,01/03/22,11:18,57.0300000,57.0300000,56.9800000,57.0100000,2126
US1.PFE,1,01/03/22,11:19,56.9900000,57.0000000,56.9400000,56.9500000,4532
