<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.TSLA,1,01/03/22,09:31,1147.7500000,1148.5800000,1140.5900000,1142.0000000,11252
US1.TSLA,1,01/03/22,09:32,1140.0600000,1145.9900000,1136.6100000,1140.3300000,13499
US1.TSLA,1,01/03/22,09:33,1141.0000000,1146.6500000,1139.3200000,1146.6500000,6259
US1.TSLA,1,01/03/22,09:34,1146.4300000,1150.0000000,1143.6100000,1145.6000000,7064
US1.TSLA,1,01/03/22,09:35,1146.0500000,1147.4900000,1144.0700000,1145.5700000,4263
US1.TSLA,1,01/03/22,09:36,1144.4800000,1146.3800000,1142.8600000,1146.0500000,5715
US1.TSLA,1,01/03/22,09:37,1146.3700000,1155.0000000,1144.9000000,1155.0000000,7925
US1.TSLA,1,01/03/22,09:38,1153.2000000,1160.4000000,1153.2000000,1160.4000000,5495
US1.TSLA,1,01/03/22,09:39,1159.7400000,1161.3500000,1155.2300000,1157.0000000,6180
US1.TSLA,1,01/03/22,09:40,1156.9800000,1158.1500000,1154.3100000,1156.0000000,4212
US1.TSLA,1,01/03/22,09:41,1157.1600000,1162.2700000,1157.1600000,1161.5200000,9786
US1.TSLA,1,01/03/22,09:42,1160.0000000,1162.5000000,1156.0000000,1162.1800000,3737
US1.TSLA,1,01/03/22,09:43,1162.0000000,1170.0000000,1160.8700000,1166.4100000,5128
US1.TSLA,1,01/03/22,09:44,1166.5700000,1166.5700000,1163.1400000,1165.0000000,2599
US1.TSLA,1,01/03/22,09:45,1164.9700000,1166.6600000,1162.0000000,1165.1600000,6132
US1.TSLA,1,01/03/22,09:46,1165.6450000,1165.7800000,1162.0300000,1162.0300000,4025
US1.TSLA,1,01/03/22,09:47,1162.5400000,1163.4300000,1161.8600000,1162.7700000,1583
US1.TSLA,1,01/03/22,09:48,1162.5100000,1165.3600000,1159.5100000,1160.2700000,6338
US1.TSLA,1,01/03/22,09:49,1159.0000000,1159.0000000,1153.3000000,1153.3000000,2700
US1.TSLA,1,01/03/22,09:50,1151.8200000,1151.8200000,1144.5600000,1146.0000000,6996
US1.TSLA,1,01/03/22,09:51,1145.4700000,1145.4700000,1139.9000000,1145.0000000,2619
US1.TSLA,1,01/03/22,09:52,1145.2600000,1148.6500000,1144.0200000,1145.6400000,3910
US1.TSLA,1,01/03/22,09:53,1148.5200000,1151.9500000,1148.5200000,1150.0500000,3803
US1.TSLA,1,01/03/22,09:54,1150.4900000,1153.0000000,1146.0000000,1149.8400000,2267
US1.TSLA,1,01/03/22,09:55,1151.0000000,1152.9500000,1151.0000000,1152.4400000,1534
US1.TSLA,1,01/03/22,09:56,1151.7400000,1154.0400000,1151.7400000,1154.0400000,1698
US1.TSLA,1,01/03/22,09:57,1156.2700000,1156.5300000,1155.7500000,1156.5300000,940
US1.TSLA,1,01/03/22,09:58,1153.5100000,1156.0000000,1153.3700000,1155.4200000,800
US1.TSLA,1,01/03/22,09:59,1152.4900000,1152.4900000,1148.5800000,1148.5800000,1901
US1.TSLA,1,01/03/22,10:00,1148.0000000,1149.0000000,1147.6700000,1148.5500000,1628
US1.TSLA,1,01/03/22,10:01,1147.6500000,1151.4700000,1146.5000000,1150.6400000,2151
US1.TSLA,1,01/03/22,10:02,1152.8400000,1156.2600000,1152.8400000,1155.1900000,3564
US1.TSLA,1,01/03/22,10:03,1154.5900000,1156.5000000,1154.0000000,1154.8000000,1420
US1.TSLA,1,01/03/22,10:04,1154.0000000,1154.0000000,1152.8000000,1152.8000000,500
US1.TSLA,1,01/03/22,10:05,1155.1800000,1155.1800000,1153.5700000,1153.5700000,600
US1.TSLA,1,01/03/22,10:06,1153.0000000,1153.7200000,1150.1000000,1150.1000000,1039
