<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.VZ,1,01/03/22,09:31,52.0500000,52.1200000,52.0300000,52.0400000,7517
US1.VZ,1,01/03/22,09:32,52.0400000,52.0400000,51.9900000,52.0100000,9769
US1.VZ,1,01/03/22,09:33,52.0050000,52.0800000,51.9900000,52.0500000,4250
US1.VZ,1,01/03/22,09:34,52.0200000,52.0200000,52.0000000,52.0000000,1400
US1.VZ,1,01/03/22,09:35,52.0100000,52.0100000,51.9900000,52.0000000,1900
US1.VZ,1,01/03/22,09:36,52.0000000,52.1300000,51.9900000,52.1300000,10410
US1.VZ,1,01/03/22,09:37,52.1300000,52.1400000,52.1000000,52.1000000,4410
US1.VZ,1,01/03/22,09:38,52.1000000,52.1400000,52.0400000,52.0400000,3904
US1.VZ,1,01/03/22,09:39,52.0200000,52.0500000,52.0100000,52.0200000,2973
US1.VZ,1,01/03/22,09:40,52.0200000,52.0450000,51.9900000,52.0450000,2200
US1.VZ,1,01/03/22,09:41,52.0400000,52.1100000,52.0400000,52.1100000,2087
US1.VZ,1,01/03/22,09:42,52.1150000,52.1500000,52.1150000,52.1500000,3593
US1.VZ,1,01/03/22,09:43,52.1500000,52.1500000,52.1000000,52.1000000,2998
US1.VZ,1,01/03/22,09:44,52.0900000,52.1200000,52.0900000,52.1100000,1400
US1.VZ,1,01/03/22,09:45,52.0900000,52.1200000,52.0900000,52.1200000,1200
US1.VZ,1,01/03/22,09:46,52.0900000,52.1700000,52.0900000,52.1150000,4421
US1.VZ,1,01/03/22,09:47,52.1000000,52.1100000,52.0900000,52.1100000,1800
US1.VZ,1,01/03/22,09:48,52.1100000,52.1200000,52.0750000,52.0750000,1235
US1.VZ,1,01/03/22,09:49,52.0300000,52.0400000,52.0100000,52.0200000,3664
US1.VZ,1,01/03/22,09:50,52.0200000,52.0200000,52.0000000,52.0100000,2312
US1.VZ,1,01/03/22,09:51,52.0200000,52.0550000,52.0100000,52.0500000,9095
US1.VZ,1,01/03/22,09:52,52.0500000,52.1000000,52.0500000,52.0950000,3700
US1.VZ,1,01/03/22,09:53,52.0900000,52.1400000,52.0800000,52.0800000,7067
