"Regime" "Start Time" "End Time" "Mean" "Standard Deviation" "Volatility"
1 1 6 -0.000263490157731298 0.00206434425074647 0.647164514632705
2 6 26 0.000263041980586735 0.00136849942390154 0.429019658481927
3 26 146 -4.96325998602529e-05 0.000820833928355298 0.257328490946229
4 146 151 -0.0001622422771697 0.000495133770462613 0.155222660234033
5 151 226 1.83224591501699e-05 0.000533497649087926 0.16724959851286
6 226 271 3.45682255122597e-05 0.000519486102923303 0.162857029071206
7 271 331 1.86903686956421e-05 0.000519308498170478 0.162801350618537
8 331 336 -0.000110629806365707 0.000477886900700013 0.149815828454493
9 336 381 -3.24272060637795e-05 0.000516565283722123 0.161941362733105
10 381 386 -0.000274489998923248 0.000626689103492278 0.196464785047615
11 386 390 0.000241598429298236 0.000604106258913941 0.189385144311686
