"Regime" "Start Time" "End Time" "Mean" "Standard Deviation" "Volatility"
1 1 51 -2.87426586656417e-05 0.00186506098918815 0.584689927269586
2 51 141 4.89971429770265e-06 0.0012164616734334 0.3813563693033
3 141 151 -3.60592883323463e-05 0.000948546903410606 0.297366050323296
4 151 176 8.91171906264532e-05 0.000944899849151791 0.296222711900748
5 176 191 -7.4916072984698e-05 0.00106956316891195 0.335304215286587
6 191 236 2.64002954137865e-05 0.000886816905567575 0.278013917519904
7 236 291 -7.16208665819047e-05 0.000969395566045027 0.303902031242983
8 291 311 0.000106897090694567 0.000977491112835007 0.306439956110471
9 311 376 2.20385220326372e-05 0.00106704476609792 0.334514705041771
10 376 386 0.000275584159242834 0.00237805935492727 0.745513074015039
11 386 390 -0.000317215984570396 0.00157978938289377 0.495258302404096
