"Regime" "Start Time" "End Time" "Mean" "Standard Deviation" "Volatility"
1 1 6 -0.000352625461470287 0.00148657331775665 0.466035400492932
2 6 41 0.000163949474983057 0.000973006881882962 0.305034165798835
3 41 46 -0.000254284826709306 0.00072190645936797 0.226315084423613
4 46 101 2.49326853133689e-05 0.000606205782505669 0.190043337423475
5 101 161 7.17565367312175e-05 0.000471022036503592 0.147663718163736
6 161 236 -1.55106993530352e-05 0.000394489203546729 0.123670949672684
7 236 336 -1.31149355642257e-06 0.000363661554644526 0.114006592368011
8 336 361 -4.07977151899107e-06 0.000362279924315571 0.113573456217915
9 361 371 -0.000102239551224849 0.000365644549859367 0.114628254251811
10 371 390 0.000248444717066661 0.000834786168683025 0.197307420012421
