New Year's Day,1,1,1980,01/01/80
Presidents' Day,18,2,1980,02/18/80
Good Friday,4,4,1980,04/04/80
Memorial Day,26,5,1980,05/26/80
Independence Day,4,7,1980,07/04/80
Labour Day,1,9,1980,09/01/80
Thanksgiving,27,11,1980,11/27/80
Christmas Day,25,12,1980,12/25/80
New Year's Day,1,1,1981,01/01/81
Presidents' Day,16,2,1981,02/16/81
Good Friday,17,4,1981,04/17/81
Memorial Day,25,5,1981,05/25/81
Independence Day (Observed),3,7,1981,07/03/81
Independence Day,4,7,1981,07/04/81
Labour Day,7,9,1981,09/07/81
Thanksgiving,26,11,1981,11/26/81
Christmas Day,25,12,1981,12/25/81
New Year's Day,1,1,1982,01/01/82
Presidents' Day,15,2,1982,02/15/82
Good Friday,9,4,1982,04/09/82
Memorial Day,31,5,1982,05/31/82
Independence Day,4,7,1982,07/04/82
Independence Day (Observed),5,7,1982,07/05/82
Labour Day,6,9,1982,09/06/82
Thanksgiving,25,11,1982,11/25/82
Christmas Day (Observed),24,12,1982,12/24/82
Christmas Day,25,12,1982,12/25/82
New Year's Day (Observed),31,12,1982,12/31/82
New Year's Day (Observed),31,12,1982,12/31/82
New Year's Day,1,1,1983,01/01/83
Presidents' Day,21,2,1983,02/21/83
Good Friday,1,4,1983,04/01/83
Memorial Day,30,5,1983,05/30/83
Independence Day,4,7,1983,07/04/83
Labour Day,5,9,1983,09/05/83
Thanksgiving,24,11,1983,11/24/83
Christmas Day,25,12,1983,12/25/83
Christmas Day (Observed),26,12,1983,12/26/83
New Year's Day,1,1,1984,01/01/84
New Year's Day (Observed),2,1,1984,01/02/84
Presidents' Day,20,2,1984,02/20/84
Good Friday,20,4,1984,04/20/84
Memorial Day,28,5,1984,05/28/84
Independence Day,4,7,1984,07/04/84
Labour Day,3,9,1984,09/03/84
Thanksgiving,29,11,1984,11/29/84
Christmas Day,25,12,1984,12/25/84
New Year's Day,1,1,1985,01/01/85
Presidents' Day,18,2,1985,02/18/85
Good Friday,5,4,1985,04/05/85
Memorial Day,27,5,1985,05/27/85
Independence Day,4,7,1985,07/04/85
Labour Day,2,9,1985,09/02/85
Thanksgiving,28,11,1985,11/28/85
Christmas Day,25,12,1985,12/25/85
New Year's Day,1,1,1986,01/01/86
"Martin Luther King, Jr. Day",20,1,1986,01/20/86
Presidents' Day,17,2,1986,02/17/86
Good Friday,28,3,1986,03/28/86
Memorial Day,26,5,1986,05/26/86
Independence Day,4,7,1986,07/04/86
Labour Day,1,9,1986,09/01/86
Thanksgiving,27,11,1986,11/27/86
Christmas Day,25,12,1986,12/25/86
New Year's Day,1,1,1987,01/01/87
"Martin Luther King, Jr. Day",19,1,1987,01/19/87
Presidents' Day,16,2,1987,02/16/87
Good Friday,17,4,1987,04/17/87
Memorial Day,25,5,1987,05/25/87
Independence Day (Observed),3,7,1987,07/03/87
Independence Day,4,7,1987,07/04/87
Labour Day,7,9,1987,09/07/87
Thanksgiving,26,11,1987,11/26/87
Christmas Day,25,12,1987,12/25/87
New Year's Day,1,1,1988,01/01/88
"Martin Luther King, Jr. Day",18,1,1988,01/18/88
Presidents' Day,15,2,1988,02/15/88
Good Friday,1,4,1988,04/01/88
Memorial Day,30,5,1988,05/30/88
Independence Day,4,7,1988,07/04/88
Labour Day,5,9,1988,09/05/88
Thanksgiving,24,11,1988,11/24/88
Christmas Day,25,12,1988,12/25/88
Christmas Day (Observed),26,12,1988,12/26/88
New Year's Day,1,1,1989,01/01/89
New Year's Day (Observed),2,1,1989,01/02/89
"Martin Luther King, Jr. Day",16,1,1989,01/16/89
Presidents' Day,20,2,1989,02/20/89
Good Friday,24,3,1989,03/24/89
Memorial Day,29,5,1989,05/29/89
Independence Day,4,7,1989,07/04/89
Labour Day,4,9,1989,09/04/89
Thanksgiving,30,11,1989,11/30/89
Christmas Day,25,12,1989,12/25/89
New Year's Day,1,1,1990,01/01/90
"Martin Luther King, Jr. Day",15,1,1990,01/15/90
Presidents' Day,19,2,1990,02/19/90
Good Friday,13,4,1990,04/13/90
Memorial Day,28,5,1990,05/28/90
Independence Day,4,7,1990,07/04/90
Labour Day,3,9,1990,09/03/90
Thanksgiving,29,11,1990,11/29/90
Christmas Day,25,12,1990,12/25/90
New Year's Day,1,1,1991,01/01/91
"Martin Luther King, Jr. Day",21,1,1991,01/21/91
Presidents' Day,18,2,1991,02/18/91
Good Friday,29,3,1991,03/29/91
Memorial Day,27,5,1991,05/27/91
Independence Day,4,7,1991,07/04/91
Labour Day,2,9,1991,09/02/91
Thanksgiving,28,11,1991,11/28/91
Christmas Day,25,12,1991,12/25/91
New Year's Day,1,1,1992,01/01/92
"Martin Luther King, Jr. Day",20,1,1992,01/20/92
Presidents' Day,17,2,1992,02/17/92
Good Friday,17,4,1992,04/17/92
Memorial Day,25,5,1992,05/25/92
Independence Day (Observed),3,7,1992,07/03/92
Independence Day,4,7,1992,07/04/92
Labour Day,7,9,1992,09/07/92
Thanksgiving,26,11,1992,11/26/92
Christmas Day,25,12,1992,12/25/92
New Year's Day,1,1,1993,01/01/93
"Martin Luther King, Jr. Day",18,1,1993,01/18/93
Presidents' Day,15,2,1993,02/15/93
Good Friday,9,4,1993,04/09/93
Memorial Day,31,5,1993,05/31/93
Independence Day,4,7,1993,07/04/93
Independence Day (Observed),5,7,1993,07/05/93
Labour Day,6,9,1993,09/06/93
Thanksgiving,25,11,1993,11/25/93
Christmas Day (Observed),24,12,1993,12/24/93
Christmas Day,25,12,1993,12/25/93
New Year's Day (Observed),31,12,1993,12/31/93
New Year's Day (Observed),31,12,1993,12/31/93
New Year's Day,1,1,1994,01/01/94
"Martin Luther King, Jr. Day",17,1,1994,01/17/94
Presidents' Day,21,2,1994,02/21/94
Good Friday,1,4,1994,04/01/94
Memorial Day,30,5,1994,05/30/94
Independence Day,4,7,1994,07/04/94
Labour Day,5,9,1994,09/05/94
Thanksgiving,24,11,1994,11/24/94
Christmas Day,25,12,1994,12/25/94
Christmas Day (Observed),26,12,1994,12/26/94
New Year's Day,1,1,1995,01/01/95
New Year's Day (Observed),2,1,1995,01/02/95
"Martin Luther King, Jr. Day",16,1,1995,01/16/95
Presidents' Day,20,2,1995,02/20/95
Good Friday,14,4,1995,04/14/95
Memorial Day,29,5,1995,05/29/95
Independence Day,4,7,1995,07/04/95
Labour Day,4,9,1995,09/04/95
Thanksgiving,30,11,1995,11/30/95
Christmas Day,25,12,1995,12/25/95
New Year's Day,1,1,1996,01/01/96
"Martin Luther King, Jr. Day",15,1,1996,01/15/96
Presidents' Day,19,2,1996,02/19/96
Good Friday,5,4,1996,04/05/96
Memorial Day,27,5,1996,05/27/96
Independence Day,4,7,1996,07/04/96
Labour Day,2,9,1996,09/02/96
Thanksgiving,28,11,1996,11/28/96
Christmas Day,25,12,1996,12/25/96
New Year's Day,1,1,1997,01/01/97
"Martin Luther King, Jr. Day",20,1,1997,01/20/97
Presidents' Day,17,2,1997,02/17/97
Good Friday,28,3,1997,03/28/97
Memorial Day,26,5,1997,05/26/97
Independence Day,4,7,1997,07/04/97
Labour Day,1,9,1997,09/01/97
Thanksgiving,27,11,1997,11/27/97
Christmas Day,25,12,1997,12/25/97
New Year's Day,1,1,1998,01/01/98
"Martin Luther King, Jr. Day",19,1,1998,01/19/98
Presidents' Day,16,2,1998,02/16/98
Good Friday,10,4,1998,04/10/98
Memorial Day,25,5,1998,05/25/98
Independence Day (Observed),3,7,1998,07/03/98
Independence Day,4,7,1998,07/04/98
Labour Day,7,9,1998,09/07/98
Thanksgiving,26,11,1998,11/26/98
Christmas Day,25,12,1998,12/25/98
New Year's Day,1,1,1999,01/01/99
"Martin Luther King, Jr. Day",18,1,1999,01/18/99
Presidents' Day,15,2,1999,02/15/99
Good Friday,2,4,1999,04/02/99
Memorial Day,31,5,1999,05/31/99
Independence Day,4,7,1999,07/04/99
Independence Day (Observed),5,7,1999,07/05/99
Labour Day,6,9,1999,09/06/99
Thanksgiving,25,11,1999,11/25/99
Christmas Day (Observed),24,12,1999,12/24/99
Christmas Day,25,12,1999,12/25/99
New Year's Day (Observed),31,12,1999,12/31/99
New Year's Day (Observed),31,12,1999,12/31/99
New Year's Day,1,1,2000,01/01/00
"Martin Luther King, Jr. Day",17,1,2000,01/17/00
Presidents' Day,21,2,2000,02/21/00
Good Friday,21,4,2000,04/21/00
Memorial Day,29,5,2000,05/29/00
Independence Day,4,7,2000,07/04/00
Labour Day,4,9,2000,09/04/00
Thanksgiving,30,11,2000,11/30/00
Christmas Day,25,12,2000,12/25/00
New Year's Day,1,1,2001,01/01/01
"Martin Luther King, Jr. Day",15,1,2001,01/15/01
Presidents' Day,19,2,2001,02/19/01
Good Friday,13,4,2001,04/13/01
Memorial Day,28,5,2001,05/28/01
Independence Day,4,7,2001,07/04/01
Labour Day,3,9,2001,09/03/01
Thanksgiving,29,11,2001,11/29/01
Christmas Day,25,12,2001,12/25/01
New Year's Day,1,1,2002,01/01/02
"Martin Luther King, Jr. Day",21,1,2002,01/21/02
Presidents' Day,18,2,2002,02/18/02
Good Friday,29,3,2002,03/29/02
Memorial Day,27,5,2002,05/27/02
Independence Day,4,7,2002,07/04/02
Labour Day,2,9,2002,09/02/02
Thanksgiving,28,11,2002,11/28/02
Christmas Day,25,12,2002,12/25/02
New Year's Day,1,1,2003,01/01/03
"Martin Luther King, Jr. Day",20,1,2003,01/20/03
Presidents' Day,17,2,2003,02/17/03
Good Friday,18,4,2003,04/18/03
Memorial Day,26,5,2003,05/26/03
Independence Day,4,7,2003,07/04/03
Labour Day,1,9,2003,09/01/03
Thanksgiving,27,11,2003,11/27/03
Christmas Day,25,12,2003,12/25/03
New Year's Day,1,1,2004,01/01/04
"Martin Luther King, Jr. Day",19,1,2004,01/19/04
Presidents' Day,16,2,2004,02/16/04
Good Friday,9,4,2004,04/09/04
Memorial Day,31,5,2004,05/31/04
Independence Day,4,7,2004,07/04/04
Independence Day (Observed),5,7,2004,07/05/04
Labour Day,6,9,2004,09/06/04
Thanksgiving,25,11,2004,11/25/04
Christmas Day (Observed),24,12,2004,12/24/04
Christmas Day,25,12,2004,12/25/04
New Year's Day (Observed),31,12,2004,12/31/04
New Year's Day (Observed),31,12,2004,12/31/04
New Year's Day,1,1,2005,01/01/05
"Martin Luther King, Jr. Day",17,1,2005,01/17/05
Presidents' Day,21,2,2005,02/21/05
Good Friday,25,3,2005,03/25/05
Memorial Day,30,5,2005,05/30/05
Independence Day,4,7,2005,07/04/05
Labour Day,5,9,2005,09/05/05
Thanksgiving,24,11,2005,11/24/05
Christmas Day,25,12,2005,12/25/05
Christmas Day (Observed),26,12,2005,12/26/05
New Year's Day,1,1,2006,01/01/06
New Year's Day (Observed),2,1,2006,01/02/06
"Martin Luther King, Jr. Day",16,1,2006,01/16/06
Presidents' Day,20,2,2006,02/20/06
Good Friday,14,4,2006,04/14/06
Memorial Day,29,5,2006,05/29/06
Independence Day,4,7,2006,07/04/06
Labour Day,4,9,2006,09/04/06
Thanksgiving,30,11,2006,11/30/06
Christmas Day,25,12,2006,12/25/06
New Year's Day,1,1,2007,01/01/07
"Martin Luther King, Jr. Day",15,1,2007,01/15/07
Presidents' Day,19,2,2007,02/19/07
Good Friday,6,4,2007,04/06/07
Memorial Day,28,5,2007,05/28/07
Independence Day,4,7,2007,07/04/07
Labour Day,3,9,2007,09/03/07
Thanksgiving,29,11,2007,11/29/07
